,Name,MSRP,TDP,Memory,GDDR6X,Passmark,Clock
72,6700XT,479,230,12,False,18713,2424
80,6800,579,250,16,False,20759,2105
82,6800XT,649,300,16,False,23556,2250
99,6900XT,999,300,16,False,26082,2250
